term	gene
K03910	NP_000005.3
K00622	NP_000006.2
K00249	NP_000007.1
K00248	NP_000008.1
K09479	NP_000009.1
K00626	NP_000010.1
K04675	NP_000011.2
K13594	NP_000011.2
K04505	NP_000012.1
K04522	NP_000012.1
K01488	NP_000013.2
K12565	NP_000014.1
K04141	NP_000015.2
K04142	NP_000015.2
K04141	NP_000016.1
K04143	NP_000016.1
K01756	NP_000017.1
K01444	NP_000018.2
K01196	NP_000019.2
K00830	NP_000021.1
K01698	NP_000022.3
K00643	NP_000023.2
K05675	NP_000024.2
K05676	NP_000024.2
K01623	NP_000026.2
K01490	NP_000027.3
K20161	NP_000027.3
K10380	NP_000028.3
K02085	NP_000029.2
K08757	NP_000030.1
K08759	NP_000031.1
K04524	NP_000032.1
K17305	NP_000033.2
K04390	NP_000034.1
K08557	NP_000035.2
K01476	NP_000036.2
K01135	NP_000037.2
K12375	NP_000037.2
K01131	NP_000038.2
K12374	NP_000038.2
K18222	NP_000038.2
K01755	NP_000039.2
K01437	NP_000040.1
K01940	NP_000041.2
K04728	NP_000042.3
K17686	NP_000043.4
K17686	NP_000044.2
K04228	NP_000045.1
K01049	NP_000046.1
K01050	NP_000046.1
K00167	NP_000047.1
K10901	NP_000048.1
K08775	NP_000050.3
K07364	NP_000052.1
K07370	NP_000052.1
K04001	NP_000053.2
K03989	NP_000055.2
K03990	NP_000055.2
K03994	NP_000055.2
K06530	NP_000055.2
K03995	NP_000056.2
K03998	NP_000057.3
K20054	NP_000057.3
K01672	NP_000058.1
K18245	NP_000058.1
K04344	NP_000059.3
K04849	NP_000059.3
K04852	NP_000059.3
K04850	NP_000060.2
K04851	NP_000060.2
K04853	NP_000060.2
K04857	NP_000060.2
K01367	NP_000061.1
K03853	NP_000061.1
K08573	NP_000061.1
K08577	NP_000061.1
K08578	NP_000061.1
K08585	NP_000061.1
K01697	NP_000062.1
K06259	NP_000063.2
K12384	NP_000063.2
K13885	NP_000063.2
K06450	NP_000064.1
K06452	NP_000064.1
K03161	NP_000065.1
K04256	NP_000065.1
K02089	NP_000066.1
K02091	NP_000066.1
K02503	NP_000066.1
K04685	NP_000068.1
K06621	NP_000068.1
K16835	NP_000069.2
K04803	NP_000070.1
K04817	NP_000071.1
K22262	NP_000072.2
K10570	NP_000073.1
K14538	NP_000073.1
K05010	NP_000074.3
K05011	NP_000074.3
K05012	NP_000075.1
K05017	NP_000076.2
K05018	NP_000076.2
K12389	NP_000077.1
K04948	NP_000078.3
K04949	NP_000078.3
K04950	NP_000078.3
K06237	NP_000083.3
K06236	NP_000084.3
K19719	NP_000084.3
K19721	NP_000084.3
K16628	NP_000085.1
K04659	NP_000086.2
K16857	NP_000086.2
K13624	NP_000087.2
K14735	NP_000087.2
K00228	NP_000088.3
K08766	NP_000089.1
K13897	NP_000090.1
K13898	NP_000090.1
K13899	NP_000090.1
K13902	NP_000090.1
K13907	NP_000091.1
K08009	NP_000092.2
K00512	NP_000093.1
K07434	NP_000094.2
K07410	NP_000095.2
K10140	NP_000098.1
K00382	NP_000099.2
K10366	NP_000100.3
K00207	NP_000101.2
K14078	NP_000102.1
K14453	NP_000103.2
K14700	NP_000103.2
K14701	NP_000103.2
K14702	NP_000103.2
K14703	NP_000103.2
K14704	NP_000103.2
K14707	NP_000103.2
K04198	NP_000106.1
K13511	NP_000107.1
K12569	NP_000108.1
K06526	NP_000109.1
K05622	NP_000110.2
K01253	NP_000111.1
K05361	NP_000111.1
K10719	NP_000111.1
K05079	NP_000112.1
K10843	NP_000113.1
K11270	NP_000113.1
K10846	NP_000114.3
K10841	NP_000115.1
K08550	NP_000116.2
K02906	NP_000117.1
K03522	NP_000117.1
K02366	NP_000118.2
K21988	NP_000118.2
K01323	NP_000119.1
K01324	NP_000119.1
K03917	NP_000120.2
K05619	NP_000120.2
K03902	NP_000121.2
K01320	NP_000122.1
K03899	NP_000123.1
K01321	NP_000124.1
K08751	NP_000125.2
K10888	NP_000126.2
K10890	NP_000127.2
K01555	NP_000128.1
K06825	NP_000129.3
K17307	NP_000129.3
K08090	NP_000130.1
K01772	NP_000131.2
K04362	NP_000132.3
K05093	NP_000132.3
K05094	NP_000132.3
K05095	NP_000132.3
K04362	NP_000133.1
K05093	NP_000133.1
K05094	NP_000133.1
K05095	NP_000133.1
K01679	NP_000134.2
K19054	NP_000135.2
K04247	NP_000136.2
K04248	NP_000136.2
K04249	NP_000136.2
K13625	NP_000137.2
K01206	NP_000138.2
K00718	NP_000139.1
K01084	NP_000142.2
K01202	NP_000144.2
K00849	NP_000145.1
K00965	NP_000146.2
K00542	NP_000147.1
K00700	NP_000149.4
K00252	NP_000150.1
K01495	NP_000152.1
K00844	NP_000153.1
K12407	NP_000153.1
K05080	NP_000154.1
K04580	NP_000155.1
K04583	NP_000155.1
K07372	NP_000156.1
K07620	NP_000157.1
K00864	NP_000158.1
K06230	NP_000159.3
K16797	NP_000159.3
K16798	NP_000159.3
K16799	NP_000159.3
K01189	NP_000160.1
K01204	NP_000160.1
K00281	NP_000161.2
K05193	NP_000162.2
K05194	NP_000162.2
K05195	NP_000162.2
K05271	NP_000162.2
K05273	NP_000162.2
K04631	NP_000163.2
